自治体名,運行日・運行期間,主な自動運転事業者,車種等,料金,補助金等1,補助金等2,備考,level,URL,地域,latitude,longitude,no
神奈川県,2023年10月23～27日,"AISANTECHNOLOGY CO.,LTD./TIER IV, Inc.","Rainbow(HINO MOTORS, LTD.)",一般試乗無し,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://a-drive.jp/2023/09/07/%E5%B7%9D%E5%B4%8E%E5%8C%BA%E5%86%85%E3%81%AB%E3%81%8A%E3%81%91%E3%82%8B%E8%87%AA%E5%8B%95%E9%81%8B%E8%BB%A2%E3%83%90%E3%82%B9%E3%81%AE%E5%AE%9F%E8%A8%BC%E5%AE%9F%E9%A8%93%E9%81%8B%E8%A1%8C%E3%81%AE/,関東,35.52030958,139.7377158,21
平塚市,2024年1月22日〜2月2日,"AISANTECHNOLOGY CO.,LTD.",?(ISUZU MOTORS LIMITED),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.hiratsuka.kanagawa.jp/machizukuri/page84_00063.html,関東,35.32722609,139.3511424,22
永平寺町,2023年5月28日〜常時レベル4,ZEN Connect,"?(Yamaha Motor Co., Ltd.)",大人100円 · 中学生以下50円,-,,,4,https://www.town.eiheiji.lg.jp/200/206/208/p010484.html,中部,36.065433,136.340649,-
佐渡市,2024年1月12、16、20、21日,"WILLER/TIER IV, Inc.","Minibus(TIER IV, Inc.)",無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://prtimes.jp/main/html/rd/p/000000228.000027749.html,中部,38.03016069,138.2406342,23
弥彦村,2024年2月2日～通年運行(月・火・金のみ運行),BOLDLY Inc.,MiCa(Auve Tech),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.vill.yahiko.niigata.jp/selfdrivingbus/,中部,37.69405001,138.8423578,24
富山市,2023年10月23日〜11月9日,"AISANTECHNOLOGY CO.,LTD./TIER IV, Inc.",(Cab),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.city.toyama.lg.jp/kurashi/road/1010282/1010291/1013070.html,中部,36.67490242,137.1512183,25
小松市,2023年10月23日から長期試験走行,"BOLDLY Inc./TIER IV, Inc./AISANTECHNOLOGY CO.,LTD.",GSM8(TAJIMA MOTOR CORPORATION),無料,-,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.komatsu.lg.jp/soshiki/1028/rosenbasu/4/14806.html,中部,36.40185318,136.452513,26
加賀市,2024年3月（未定）,MACNICA,ARMA(NAVYA),不明,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.city.kaga.ishikawa.jp/material/files/group/31/10gatsuhoseiyosanngaiyou.pdf,中部,36.31963408,136.3501574,27
山梨県,2023年1月27日・28日,BOLDLY Inc.,"Pon'cho(HINO MOTORS, LTD.)",無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.pref.yamanashi.jp/release/linear-kt/2401/jidouunten.html,中部,35.66632543,138.5684101,28
富士吉田市,2023年10月21日～11月10日,BOLDLY Inc.,ARMA(NAVYA),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://special.fujiyama-navi.jp,中部,35.49761317,138.8032574,29
甲斐市,2023年11月19日(1日),-,(cart),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.city.kai.yamanashi.jp/soshikinogoannai/keieisenryaku/keieikikaku/2/12214.html,中部,35.69047768,138.5197502,30
塩尻市,2024年1月22日～26日,"AISANTECHNOLOGY CO.,LTD./TIER IV, Inc.","Minibus(TIER IV, Inc.)",無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.shiojiri.lg.jp/soshiki/10/34947.html,中部,36.11456517,137.9484218,31
岐阜市,2023年11月25日〜5年間（常時運行）,BOLDLY Inc.,ARMA(NAVYA),無料,-,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.gifu.lg.jp/kurashi/douro/1002587/1023154/1023168.html,中部,35.4097269,136.7579449,32
中津川市,2023年10月17〜29日,"AISANTECHNOLOGY CO.,LTD./TIER IV, Inc.",GSM8(TAJIMA MOTOR CORPORATION),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.nakatsugawa.lg.jp/shisei/policy/jisedai/25320.html,中部,35.64719579,137.4339166,33
浜松市,2023 年 11月28日～12 月 23 日 毎週 火・木・土/2024 年 1月 9日～ 2 月 17 日 毎週 火・木・土,BOLDLY Inc.,SOLIO BANDIT(SUZUKI MOTOR CORPORATION),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.city.hamamatsu.shizuoka.jp/sangyoshinko/yaramaikaproject.html,中部,34.71525046,137.6217381,34
沼津市,2023年11月17〜23日,"AISANTECHNOLOGY CO.,LTD.",TAJIMA-NAO-8J(TAJIMA MOTOR CORPORATION),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.numazu.shizuoka.jp/kurashi/access/bus/topics/r05_jidounten.htm,中部,35.10226537,138.8598992,35
三島市,2023年12月1～4日,"Advanced Smart Mobility Co., Ltd.","Pon'cho(HINO MOTORS, LTD.)",無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.mishima.shizuoka.jp/ipn055601.html,中部,35.12758493,138.9105691,36
名古屋市,2024 年1月下旬から 2 週間程度を予定,"AISANTECHNOLOGY CO.,LTD./TIER IV, Inc.",,不明,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.city.nagoya.jp/jutakutoshi/page/0000168556.html,中部,35.23089068,137.0193922,37
豊田市,2023年11月30日～12月28日,(consortium),"?(Advanced Smart Mobility Co., Ltd.)",無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.toyota.aichi.jp/pressrelease/1056689/1056998.html,中部,35.07546447,137.1578721,39
安城市,2024年2月末まで,-,?(?),（一般試乗無し）,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.city.anjo.aichi.jp/kurasu/dorokotsu/consortium.html,中部,34.9539357,137.0277096,40
常滑市,2024年1月16～26日,"AISANTECHNOLOGY CO.,LTD.",ERGA(ISUZU MOTORS LIMITED),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.city.tokoname.aichi.jp/kurashi/1006388/1007426/1007427.html,中部,34.88965355,136.8354113,41
小牧市,2024年2月13〜26日,BOLDLY Inc.,ARMA(NAVYA),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.city.komaki.aichi.jp/admin/soshiki/toshiseisakubu/toshiseibi/2/6/43575.html,中部,35.28886749,136.9290122,42
日進市,2023年5月9日から当分の間 火～土で運行,"BOLDLY/Cenec Co.,Ltd./MACNICA",ARMA(NAVYA),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.nisshin.lg.jp/department/seikatu/ido/1/new_mobility/jido_unten.html,中部,35.13223287,137.0395797,43
桑名市,令和5年12月19〜22日,"AISANTECHNOLOGY CO.,LTD./TIER IV, Inc.",J6(BYD),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.city.kuwana.lg.jp/maas/kurashi/machidukuri/28-0-220-896/28-80458-220-896.html,近畿,35.08279439,136.7026269,44
多気町,2023年12月22日～2024年2月29日,BOLDLY Inc.,MiCa(Auve Tech),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,,,2,https://www.town.taki.mie.jp/life/soshiki/kikakuchosei/sangyo_business/2_1/selfdriving/3455.html,近畿,34.45856548,136.5154922,45
三田市,2023年10月17日～11月26日,"Advanced Smart Mobility Co., Ltd.",ERGA mio(ISUZU MOTORS LIMITED),大人200円 小人100円,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,自動運転実証調査事業と連携した路車協調システム実証実験,,2,https://www.city.sanda.lg.jp/soshiki/35/oshirase/24146.html,近畿,34.90951622,135.1847341,49
宇陀市1,2023年12月4～22日,"AISANTECHNOLOGY CO.,LTD./TIER IV, Inc.",GSM8(TAJIMA MOTOR CORPORATION),無料,令和4年度地域公共交通確保維持改善事業費補助金（自動運転実証調査事業）,デジ活中山間地域（農林水産省）,,2,https://www.city.uda.nara.jp/s-suishin/kurashi/koutsuu/bus/automaticmobility.html,近畿,34.54467888,135.9685497,50
